"study_id","Author"
1,"Ahn 2019"
2,"Asayama 2003"
3,"Callegari 2016"
4,"Cruz-Aguilar 2018"
5,"Daneshvar Kakhaki 2020"
6,"Dowling 2005 A"
7,"Dowling 2005 B"
8,"Dowling 2008 A"
9,"Dowling 2008 B"
10,"Drake 2018"
11,"Gao 2009"
12,"Gehrman 2009"
13,"Gilat 2020"
14,"Hadi 2022 A"
15,"Hadi 2022 B"
16,"Hsu 2021"
17,"Jallouli 2022"
18,"Jean-Louis 1998"
19,"Kunz 2010"
20,"Litvinenko 2012"
21,"Medeiros 2007"
22,"Morales-Delgado 2018"
23,"Riemersma-vanDerLek 2008 A"
24,"Riemersma-vanDerLek 2008 B"
25,"Rondanelli 2012"
26,"Sánchez-López 2018"
27,"Serfaty 2002"
28,"Singer 2003 A"
29,"Singer 2003 B"
30,"Valtonen 2005 A"
31,"Valtonen 2005 B"
32,"Wade 2014"
