"study_id","author","e_m","e_sd","e_n","c_m","c_sd","c_n","revman_weight","revman_smd_ci","RoB","tnc","dose_cat","dose_mg","comparator","environment","follow_up_time_weeks","instrument","direction"
1,"Asayama 2003",15.3,7.4,11,11.9,8,9,0.066,"0.42 [-0.47, 1.32]","Low","AD","Less than 5mg",3,"Placebo","Hospital",4,"MMSE","Higher is better"
11,"Gao 2009",21.8,1.6,15,20.4,1.9,16,0.081,"0.77 [0.04, 1.51]","High","AD","Less than 5mg",2.9,"Placebo","Community",24,"MMSE","Higher is better"
17,"Jallouli 2022",19.83,2.03,7,23.54,3.5,7,0.047,"-1.21 [-2.39, -0.04]","High","MS","More or equal to 5mg",6,"Placebo","Community",0.3,"MoCA","Higher is better"
20,"Litvinenko 2012",29.3,0.5,20,28.7,0.7,18,0.087,"0.97 [0.30, 1.65]","High","PD","Less than 5mg",3,"Clonazepam","Community",6,"MMSE","Higher is better"
22,"Morales Delgado 2018",17,9,16,17,9,15,0.084,"0.00 [-0.70, 0.70]","Low","AD","More or equal to 5mg",5,"Placebo","Community",8,"MMSE","Higher is better"
23,"Riemersma 2008 A",17.1,6.2,46,15.4,7.3,40,0.118,"0.25 [-0.18, 0.68]","Low","AD","Less than 5mg",2.5,"Placebo","Hospital",6,"MMSE","Higher is better"
24,"Riemersma 2008 B",15.5,6.4,44,16.6,5.5,47,0.12,"-0.18 [-0.60, 0.23]","Low","AD","Less than 5mg",2.5,"Light","Hospital",6,"MMSE","Higher is better"
25,"Rondanelli 2012",27.18,1.8,11,24.56,4.18,14,0.072,"0.75 [-0.07, 1.58]","Some concerns","AD","More or equal to 5mg",5,"Placebo","Hospital",12,"MMSE","Higher is better"
28,"Singer 2003 A",13.13,2.8,54,14.54,2.7,24,0.11,"-0.50 [-0.99, -0.02]","Low","AD","Less than 5mg",2.5,"Placebo","Community",8,"MMSE","Higher is better"
29,"Singer 2003 B",14.4,3.4,50,14.54,2.7,23,0.109,"-0.04 [-0.54, 0.45]","Low","AD","More or equal to 5mg",10,"Placebo","Community",8,"MMSE","Higher is better"
32,"Wade 2014",25.03,8.85,29,27.54,10.87,26,0.105,"-0.25 [-0.78, 0.28]","High","AD","Less than 5mg",2,"Placebo","Community",12,"MMSE","Higher is better"
