"study_id","author","e_m","e_sd","e_n","c_m","c_sd","c_n","revman_weight","revman_smd_ci","RoB","tnc","dose_cat","dose_mg","comparator","environment","follow_up_time_weeks","direction"
1,"Ahn 2019",44.1,37.9,16,50.3,41.6,18,0.1,"-0.15 [-0.83, 0.52]","Low","PD","Less than 5mg",3,"Placebo","Hospital",4,"Lower is better"
2,"Asayama 2003",79.09,5.42,10,70.92,10.87,8,0.06,"0.94 [-0.05, 1.93]","Low","AD","Less than 5mg",3,"Placebo","Hospital",4,"Lower is better"
4,"Cruz-Aguilar 2018",15.25,5.95,8,34.75,24.16,8,0.054,"-1.05 [-2.11, 0.02]","High","AD","More or equal to 5mg",5,"Placebo","Community",1,"Lower is better"
5,"Daneshvar Kakhaki 2020",6.7,2.7,25,8.5,2.6,26,0.121,"-0.67 [-1.23, -0.10]","Low","PD","More or equal to 5mg",5,"Placebo","Community",12,"Lower is better"
13,"Gilat 2020",21.45,40.89,15,9.4,13.37,13,0.088,"0.37 [-0.38, 1.12]","Low","PD","Less than 5mg",4,"Placebo","Community",8,"Lower is better"
18,"Jean-Louis 1998",14.7,7.21,5,26.88,10.97,5,0.034,"-1.19 [-2.59, 0.22]","Some concerns","AD","More or equal to 5mg",6,"Placebo","Community",1.2,"Lower is better"
19,"Kunz 2010",15,14.3,4,10.97,9.7,4,0.034,"0.29 [-1.11, 1.69]","High","PD","Less than 5mg",3,"Placebo","Community",1.2,"Lower is better"
21,"Medeiros 2007",44.5,22.5,8,45.4,40.7,10,0.066,"-0.03 [-0.95, 0.90]","Some concerns","PD","Less than 5mg",3,"Placebo","Community",4,"Lower is better"
23,"Riemersma-vanDerLek 2008 A",48,36,46,42,49,40,0.154,"0.14 [-0.28, 0.56]","Low","AD","Less than 5mg",2.5,"Placebo","Hospital",6,"Lower is better"
24,"Riemersma-vanDerLek 2008 B",42,37,44,37,31,47,0.157,"0.15 [-0.27, 0.56]","Low","AD","Less than 5mg",2.5,"Light","Hospital",6,"Lower is better"
32,"Wade 2014",19.07,21.8,31,18.32,9.9,28,0.133,"0.04 [-0.47, 0.55]","High","AD","Less than 5mg",2,"Placebo","Community",12,"Lower is better"
