Study,D1,D2,D3,D4,D5,Overall,Weight
Ahn 2019,Low,Low,Low,Low,Low,Low,3.84
Asayama 2003,Low,Low,Low,Low,Low,Low,3.84
Callegari 2016,Low,Low,Some Concerns,Low,Some Concerns,Some Concerns,3.84
Cruz-Aguilar 2018,High,High,High,High,High,High,3.84
Daneshvar-Kakhaki 2020,Low,Low,Low,Low,Low,Low,3.84
Dowling 2005,Low,Low,High,Low,High,High,3.84
Dowling 2008,Some Concerns,Low,Low,Low,Low,Low,3.84
Drake 2018,Low,Low,Low,Low,Low,Low,3.84
Gao 2009,Some Concerns,High,Low,High,Low,High,3.84
Gehrman 2009,Some Concerns,Low,Some Concerns,Low,Some Concerns,Some Concerns,3.84
Gilat 2020,Low,Low,Low,Low,Low,Low,3.84
Hadi 2022,Low,Low,Low,Low,Low,Low,3.84
Hsu 2021,Low,Low,Some Concerns,Low,Low,Some Concerns,3.84
Jallouli 2022,High,Some Concerns,Low,Low,Low,Some Concerns,3.84
Jean-Louis 1998,Some Concerns,Low,Some Concerns,Low,Some Concerns,Some Concerns,3.84
Kunz 2010,High,Some Concerns,Low,Low,Low,High,3.84
Litvinenko 2012,High,Low,High,Low,High,High,3.84
Medeiros 2007,Some Concerns,Low,Low,Low,Low,Some Concerns,3.84
Morales-Delgado 2018,Low,Low,Low,Low,Low,Low,3.84
Riemersma-vanDerLek 2008,Low,Low,Low,Low,Low,Low,3.84
Rondanelli 2012,Some Concerns,Low,Low,Low,Low,Some Concerns,3.84
Sánchez-López 2018,Low,Low,Low,Low,Low,Low,3.84
Serfaty 2002,Low,Low,Low,Low,Low,Low,3.84
Singer 2003,Low,Low,Low,Low,Low,Low,3.84
Valtonen 2005,High,Some Concerns,Some Concerns,Some Concerns,Some Concerns,High,3.84
Wade 2014,High,Low,Low,Low,Low,High,3.84
